id,intake,years,University Name,Course,Undergrad Institute & Branch,Undergraduate Major,GPA,GRE,IELTS/TOEFL,Papers,Work Exp,created_at,updated_at,Acceptance
2284,"Spring ",2024,"California State University, Fresno",,Chaitanya Bharathi Institute of Technology,,6.81/10,"306 (151,155,5)",8 IELTS,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2285,"Spring ",2024,North Carolina State University,,SSN College of Engineering,,8.91/10,"321 (157,164,4)",8 IELTS,1,1,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2286,"Fall ",2024,University of Southern California,,"National Institute of Technology, Puducherry",,8.73/10,,7.5 IELTS,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2287,"Fall ",2024,Purdue University Fort Wayne,,"Military Institute of Science and Technology, Dhaka",,3.32/4,"312 (152,160,4)",92 TOEFL,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2288,"Fall ",2024,"University of Texas, Austin",,Vellore Institute of Technology,,93/100,"260 (130,130,3)",8 IELTS,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2289,"Fall ",2024,University of Bridgeport,,Marri Laxman Reddy Institute of Technology,,10-07-2025 00:00,,IELTS 6,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2290,"Fall ",2024,Northeastern University,,All India Shri Shivaji Memorial Society’s College,,8.76/10,,IELTS 6.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2291,"Fall ",2024,Rowan University,,KL University,,6.67/10,,TOEFL 83,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2292,Spring,2024,Purdue University Fort Wayne,,Pimpri Chinchwad College of Engineering,,9.44/10,"311 (144,167,3)",IELTS 7.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2293,"Fall ",2024,North Carolina State University,,Manipal Institute of Technology,,8.5/10,"318 (151,167,2.5)",TOEFL 108,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2294,"Fall ",2024,Pennsylvania State University,,Sardar Patel College of Engineering,,8.47/10,"324 (157,167,3.5)",TOEFL 107,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2295,"Fall ",2024,Southern Illinois University Edwardsville,,G Pulla Reddy Engineering College,,65/100,"321 (159,162,3)",TOEFL 95,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2296,"Fall ",2024,Massachusetts Institute of Technology,,Institute of Infrastructure Technology Research,,9.1/10,,TOEFL 92,2,2,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2297,"Fall ",2024,"University of Michigan, Ann Arbor",,NIT Surathkal,,8.53/10,"325 (156,169,3.5)",TOEFL 101,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2298,"Fall ",2024,"University of Texas, Austin",Mechanical Engineering,Vellore Institute of Technology,,93/100,"260 (130,130,3)",IELTS 8,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2299,"Fall ",2024,Purdue University Fort Wayne,Mechanical Engineering,"Military Institute of Science and Technology, Dhaka",,3.32/4,"312 (152,160,4)",TOEFL 92,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2300,"Fall ",2024,University of Southern California,Mechanical Engineering,NIT Puducherry,,8.73/10,,IELTS 7.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2301,"Spring ",2024,"University of Alabama, Birmingham",Mechanical Engineering,Sreenidhi Institute of Science and Technology,,7.26/10,,IELTS 6,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2302,"Spring ",2024,"California State University, Fresno",Mechanical Engineering,Chaitanya Bharathi Institute of Technology,,6.81/10,"306 (151,155,5)",IELTS 8,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2303,"Fall ",2024,University of Bridgeport,Mechanical Engineering,Marri Laxman Reddy Institute Of Technology,,10-07-2025 00:00,,IELTS 6,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2304,"Fall ",2024,Northeastern University,Mechanical Engineering,All India Shri Shivaji Memorial Society’s College Of Engineering,,8.76/10,,IELTS 6.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2305,"Spring ",2024,Old Dominion University,Mechanical Engineering,"Institute of Engineering, Tribhuvan University",,77/100,"294 (141,153,3)",TOEFL 85,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2306,"Spring ",2024,Purdue University Fort Wayne,Mechanical Engineering,Pimpri Chinchwad College Of Engineering,,9.44/10,"311 (144,167,3)",IELTS 7.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2307,"Fall ",2024,Michigan State University,Mechanical Engineering,K S Institute of Technology,,67.25/100,"313 (154,159,4)",IELTS 7.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2308,"Fall ",2024,Purdue University Fort Wayne,Mechanical Engineering,,,NA/10,"328 (161,167,4)",IELTS 8,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2309,"Spring ",2024,"University of Alabama, Birmingham",Mechanical Engineering,Sreenidhi Institute of Science and Technology,,7.26/10,"NA (NA,NA,NA)",IELTS 6,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2310,"Fall ",2024,"University of Michigan, Ann Arbor",Mechanical Engineering,NIT Surathkal,,8.53/10,"325 (156,169,3.5)",TOEFL 101,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2311,"Fall ",2024,"University of Dayton, Ohio",Mechanical Engineering,,,70/100,"318 (150,168,2.5)",IELTS 6.5,1,1,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2312,"Fall ",2024,Northeastern University,Mechanical Engineering,Technocrat Institute of Technology,,72/100,"308 (150,158,3)",TOEFL 85,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2313,"Fall ",2024,Pennsylvania State University,Mechanical Engineering,IIITDM Kancheepuram,,10-09-2025 00:00,"309 (143,166,4)",IELTS 7.5,2,2,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2314,"Spring ",2024,Old Dominion University,Mechanical Engineering,"Institute of Engineering, Tribhuvan University",,77/100,"294 (141,153,3)",TOEFL 85,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2315,"Fall ",2024,University of Alberta,Mechanical Engineering,Amity University Rajasthan,,8.73/10,"321 (157,164,3)",IELTS 7.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2316,"Fall ",2024,"University of Illinois, Chicago",Mechanical Engineering,"PES Institute of Technology, Bengaluru",,6.2/10,"302 (148,154,3.5)",IELTS 7,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2317,"Fall ",2024,"University of Michigan, Ann Arbor",Mechanical Engineering,NIT Surathkal,,8.53/10,"325 (156,169,3.5)",TOEFL 101,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2318,"Fall ",2024,University of Ontario Institute of Technology,Mechanical Engineering,Manipal Institute of Technology,,9.19/10,"325 (159,166,4)",IELTS 8.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2319,"Fall ",2024,"University of Nevada, Las Vegas",Mechanical Engineering,Bangladesh University of Professionals,,3.24/4,"309 (151,158,3)",TOEFL 96,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2320,"Fall ",2024,University of Alberta,Mechanical Engineering,Amity University Rajasthan,,8.73/10,"321 (157,164,3)",IELTS 7.5,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2321,"Fall ",2024,"University of Illinois, Chicago",Mechanical Engineering,"PES Institute Of Technology, Bengaluru",,6.2/10,"302 (148,154,3.5)",IELTS 7,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2322,"Spring ",2024,"University of Colorado, Boulder",Mechanical Engineering,Acharaya Institute Of Technology,,8.2/10,"296 (147,149,2)",IELTS 8,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2323,"Fall ",2024,Nanyang Technological University,Mechanical Engineering,NIT Hamirpur,,7.75/10,"322 (153,169,4)",TOEFL 111,10,10,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2324,"Spring ",2024,Pennsylvania State University,Mechanical Engineering,"Institute of Engineering, Tribhuvan University",,77/100,"294 (141,153,3)",TOEFL 85,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2325,"Fall ",2024,Auburn University,Mechanical Engineering,Siddaganga Institute Of Technology,,8.99/10,"316 (151,165,4)",TOEFL 107,1,1,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2326,"Fall ",2024,Arizona State University,Mechanical Engineering,"Dr D.Y. Patil College of Engineering, Pune",,68.19/100,"308 (146,162,3)",TOEFL 87,2,2,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2327,"Fall ",2024,University of Alberta,Mechanical Engineering,Amity University Rajasthan,,8.73/10,"321 (157,164,3)",7.5 IELTS,0,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2328,"Fall ",2024,Arizona State University,Mechanical Engineering,Nirma University,,80/100,"326 (157,169,4)",109 TOEFL,0,3 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2329,"Fall ",2024,SUNY Buffalo,Mechanical Engineering,Vasavi College of Engineering,,9.1/10,"312 (147,165,3)",7.5 IELTS,0,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2330,"Winter ",2024,University of Guelph,Mechanical Engineering,Vellore Institute of Technology,,8.3/10,,7 IELTS,1,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2331,Fall,2024,Michigan State University,Mechanical Engineering,Amity University Rajasthan,,8.73/10,"321 (157,164,3)",7.5 IELTS,0,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2332,"Spring ",2024,UNC Charlotte,Mechanical Engineering,Chaitanya Bharathi Institute of Technology,,6.81/10,"306 (151,155,5)",8 IELTS,0,14 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2333,"Fall ",2024,Northeastern University,Mechanical Engineering,Technocrat Institute of Technology,,72/100,"308 (150,158,3)",85 TOEFL,0,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2334,"Fall ",2024,"University of Texas, Austin",Mechanical Engineering,Vellore Institute of Technology,,93/100,"260 (130,130,3)",8 IELTS,0,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2335,"Fall ",2024,Purdue University Fort Wayne,Mechanical Engineering,"Military Institute of Science and Technology, Dhaka",,3.32/4,"312 (152,160,4)",92 TOEFL,0,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2336,"Fall ",2024,University of Southern California,Mechanical Engineering,NIT Puducherry,,8.73/10,,7.5 IELTS,0,0 mon,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2337,"Fall ",2024,"University of Dayton, Ohio",Mechanical Engineering,,,70/100,"318 (150,168,2.5)",IELTS 6.5,1,30,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2338,"Fall ",2024,Nanyang Technological University,Mechanical Engineering,,,7.75/10,"322 (153,169,4)",TOEFL 111,0,17,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2339,"Spring ",2024,North Carolina State University,Mechanical Engineering,,,8.8/10,"309 (148,161,4)",TOEFL 90,0,74,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2340,"Fall ",2024,Arizona State University,Mechanical Engineering,,,8.76/10,,IELTS 6.5,0,24,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2341,"Spring ",2024,University of Leeds,Mechanical Engineering,,,8.44/10,"315 (150,165,3.5)",IELTS 7,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2342,"Fall ",2024,"University of Texas, Arlington",Mechanical Engineering,,,6.2/10,"317 (152,165,4)",TOEFL NA,0,6,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2343,"Fall ",2024,"University of Nevada, Las Vegas",Mechanical Engineering,,,3.24/4,"309 (151,158,3)",TOEFL 96,0,80,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2344,"Fall ",2024,"University of Texas, Dallas",Mechanical Engineering,,,8.21/10,"303 (143,160,3)",TOEFL 105,0,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2345,"Fall ",2024,"University of California, Berkeley",Mechanical Engineering,,,9.4/10,"300 (150,150,3)",IELTS 7,2,3,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2346,"Fall ",2024,Purdue University Fort Wayne,Mechanical Engineering,,,,"328 (161,167,4)",IELTS 8,,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2347,"Fall ",2025,North Carolina State University,Computer Engineering,,,,8.57/10,,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2348,"Fall ",2025,Arizona State University,Computer Engineering,,,,7.86/10,,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2349,"Fall ",2025,North Carolina State University,Computer Engineering,,,,8.4/10,,,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2350,"Fall ",2025,"University of California, San Diego",Computer Engineering,,,,3.91/4,"332 (162,170)",,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2351,"Fall ",2025,New York University,Computer Engineering,"St. Francis Institute Of Technology, Borivali",,Computer Science,9.32/10,,,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2352,"Spring ",2025,"Texas A&M University, College Station",Computer Engineering,parul institute of engineering and technology,,Computer Science,8.2/10,"327 (161,166,3.5)",,1,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2353,"Fall ",2025,"State University of New York, Stony Brook",Computer Engineering,,,,NA/10,"313 (147,164,3.5)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2354,"Fall ",2025,"University of Texas, Dallas",Computer Engineering,Vasavi College of Engineering,,ECE,8.37/10,"304 (139,165,3.5)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2355,"Fall ",2025,University of Cincinnati,Computer Engineering,SRM University,,Computer Science,8.41/10,"324 (154,170,3)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2356,"Spring ",2025,"University of Texas, Dallas",Computer Engineering,"Bharath University, Selaiyur, Tambaram",,ECE,8.6/10,"318 (151,167,2)",,1,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2357,"Spring ",2024,"Texas A&M University, College Station",Computer Engineering,,,,8.2/10,"327 (161,166,3.5)",,1,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2358,"Fall ",2024,"State University of New York, Stony Brook",Computer Engineering,,,,NA/10,"313 (147,164,3.5)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2359,"Fall ",2024,"University of Texas, Dallas",Computer Engineering,,,,8.37/10,"304 (139,165,3.5)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2360,"Fall ",2024,San Jose State University,Computer Engineering,,,,8.8/10,"317 (151,166,4)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2361,"Fall ",2024,"California State University, Fullerton",Computer Engineering,,,,10-08-2025 00:00,"305 (146,159,4)",,2,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2362,"Fall ",2024,"Texas A&M University, College Station",Computer Engineering,,,,NA/10,"300 (145,155,4)",,1,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2363,"Fall ",2024,Syracuse University,Computer Engineering,,,,8.55/10,"309 (150,159,3)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2364,"Fall ",2024,Virginia Tech University,Computer Engineering,,,,10-08-2025 00:00,"319 (151,168,3)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2365,"Fall ",2024,Drexel University,Computer Engineering,,,,6.87/10,"320 (157,163,4)",,0,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2366,"Fall ",2023,George Mason University,Computer Science,Gitam University,Computer Science,7.08,"323 (156, 167, 4)",IELTS 8,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2367,"Fall ",2023,Syracuse University,Computer Science,Sinhgad College of Engineering,Information Technology,7.82,"304 (150, 154, 3)",TOEFL 105,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2368,"Fall ",2023,Wichita State University,Supply Chain Management,Gitam University,Mechanical Engineering,7.61,,IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2369,"Fall ",2023,"California State University, East Bay",Computer Science,Unknown,Computer Science,7.6,"306 (147, 159, 3)",IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2370,"Fall ",2023,Cardiff University,Computer Science,Assam Don Bosco University,Computer Science,7.05,,IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2371,"Fall ",2023,University of New Haven,Data Science,"Amity University, Noida",Computer Science,7.14,"286 (137, 149, 3)",IELTS 7,2,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2372,"Fall ",2023,University of Waterloo,Civil Engineering,NIT Surat,Civil Engineering,9.06,"316 (149, 167, 4)",IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2373,"Fall ",2023,Worcester Polytechnic Institute,Robotics,,ECE,7.04,"316 (152, 164, 4)",TOEFL 105,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2374,"Fall ",2023,University of Southern California,Computer Science,SRM University,Computer Science,9.2,"307 (148, 159, 3)",IELTS 7.5,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2375,"Fall ",2023,Arizona State University,Architecture,Anna University,Architecture,8.5,,TOEFL 96,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2376,"Fall ",2023,University,Program,Undergraduate University,Undergraduate Major,GPA,"GRE (V, Q, AWA)",IELTS/TOEFL,Papers,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2377,"Fall ",2023,"University of Maryland, College Park",Information Systems,Savitribai Phule Pune University,Computer Engineering,7.98/10,"313 (153,160,4)",TOEFL 103,5,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2378,"Fall ",2023,George Mason University,Computer Science,Gitam University,Computer Science,7.08/10,"323 (156,167,4)",IELTS 8,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2379,"Fall ",2023,Arizona State University,Architecture,Anna University,Architecture,8.5/10,,TOEFL 96,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2380,"Fall ",2023,University of Southern California,Computer Science,SRM University,Computer Science,9.2/10,"307 (148,159,3)",IELTS 7.5,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2381,"Fall ",2023,Worcester Polytechnic Institute,Robotics,,ECE,7.04/10,"316 (152,164,4)",TOEFL 105,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2382,"Fall ",2023,University of Waterloo,Civil Engineering,NIT Surat,Civil Engineering,9.06/10,"316 (149,167,4)",IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2383,"Fall ",2023,University of New Haven,Data Science,"Amity University, Noida",Computer Science,7.14/10,"286 (137,149,3)",IELTS 7,2,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2384,"Fall ",2023,Cardiff University,Computer Science,Assam Don Bosco University,Computer Science,7.05/10,,IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2385,"Fall ",2023,"California State University, East Bay",Computer Science,Unknown,Computer Science,7.6/10,"306 (147,159,3)",IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2386,"Fall ",2023,Wichita State University,Supply Chain Management,Gitam University,Mechanical Engineering,7.61/10,,IELTS 7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2387,"Fall ",2023,"University of Maryland, College Park",Information Systems,Savitribai Phule Pune University,Computer Engineering,7.98/10,"313 (153,160,4)",103,5,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2388,"Fall ",2023,University of South Florida,Computer Science,Gitam University,Computer Science,7.7/10,"290 (140,150,3)",7,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2389,"Fall ",2023,Arizona State University,Architecture,Anna University,Architecture,8.5/10,,96,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2390,"Fall ",2023,University of Southern California,Computer Science,SRM University,Computer Science,9.2/10,"307 (148,159,3)",7.5,1,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2391,"Fall ",2023,Worcester Polytechnic Institute,Robotics,,ECE,7.04/10,"316 (152,164,4)",105,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2392,"Fall ",2023,University of Waterloo,Civil Engineering,NIT Surat,Civil Engineering,9.06/10,"316 (149,167,4)",7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2393,"Fall ",2023,University of New Haven,Data Science,"Amity University, Noida",Computer Science,7.14/10,"286 (137,149,3)",7,2,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2394,"Fall ",2023,Cardiff University,Computer Science,Assam Don Bosco University,Computer Science,7.05/10,,7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2395,"Fall ",2023,"California State University, East Bay",Computer Science,Unknown,Computer Science,7.6/10,"306 (147,159,3)",7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2396,"Fall ",2023,Wichita State University,Supply Chain Management,Gitam University,Mechanical Engineering,7.61/10,,7.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2397,"Fall ",2023,Arizona State University,Architecture,Anna University,Architecture,8.5 / 10,,TOEFL 96,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2398,"Fall ",2023,George Mason University,Computer Science,Gitam University,Computer Science,7.08 / 10,"323 (156, 167, 4)",IELTS 8,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2399,"Fall ",2023,"University of Maryland, College Park",Information Systems,Savitribai Phule Pune University,Computer Engineering,7.98 / 10,"313 (153, 160, 4)",TOEFL 103,5,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,Yes
2400,"Fall ",2023,Georgia Institute of Technology,Electrical & Computer Engineering,Veer Surendra Sai University of Technology,ECE,8.01 / 10,"320 (154, 166, 4)",TOEFL 112,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2401,"Fall ",2023,"University of Minnesota, Twin Cities",Business Analytics,ABC University,Computer Science,3.5 / 4,,TOEFL 106,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2402,"Fall ",2023,University of Wisconsin–Madison,Computer Science,Delhi Technological University,Computer Science,7.64 / 10,"330 (161, 169, 4.5)",TOEFL 113,4,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2403,"Fall ",2023,University of Connecticut,Business Analytics,National Institute of Technology,EEE,7.3 / 10,"319 (156, 163, 2.5)",TOEFL 93,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2404,"Fall ",2023,"University of Florida, Gainesville",Electrical & Computer Engineering,"National Institute of Technology, Warangal",EEE,8.87 / 10,"308 (145, 163, 4)",TOEFL 92,2,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2405,"Fall ",2023,"Illinois Institute of Technology, Chicago",Computer Science,Vellore Institute of Technology,Mechanical Engineering,8.35 / 10,"316 (155, 161, 4.5)",TOEFL 113,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2406,"Fall ",2023,"State University of New York, Buffalo",Data Science,Indian Institute of Technology Jodhpur,Biotechnology,6.91 / 10,"321 (151, 170, 4.5)",TOEFL 111,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2407,"Fall ",2023,Syracuse University,Applied Data Science,K. J. Somaiya College of Engineering,Electronics Engineering,6.8 / 10,"301 (151, 150, 3.5)",TOEFL 94,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2408,"Fall ",2023,Concordia University,Electrical & Computer Engineering,CVR College of Engineering,Instrumentation Engineering,8.97 / 10,,IELTS 6.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2409,"Fall ",2023,New York University,Cyber Security,PES Institute of Technology,Computer Science,8.2 / 10,"318 (160, 158, 4)",TOEFL 112,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2410,"Fall ",2023,University of Illinois Urbana–Champaign,Mechanical Engineering,IIT Goa,Mechanical Engineering,8.16 / 10,"321 (155, 166, 4)",TOEFL 113,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2411,"Fall ",2023,"University of North Carolina, Charlotte",Civil Engineering,Gitam University,Civil Engineering,8.3 / 10,"314 (151, 163, 3)",IELTS 7,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2412,"Fall ",2023,Syracuse University,Applied Data Science,K J Somaiya College of Engineering,Electronics Engineering,6.8/10,"301 (151,150,3.5)",TOEFL 94,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
2413,"Fall ",2023,Concordia University,Electrical & Computer Engineering,CVR College of Engineering,Instrumentation Engineering,8.97/10,,IELTS 6.5,0,,2026-01-22 06:13:43.160995+00,2026-01-22 06:13:43.160995+00,no
